Item;Username;Comments;Favorites;Date;Tweet;Author Followers
1;Aventurero8415;;;6/10/2023 19:27;@larepublica_pe @jesicaleon A la firme darle ese poder a estos inútiles de la penepe es como darle una metralleta a un chimpancé y a todo esto diré solo una cosita , mantengan su distancia no vaya a ser que los siembren con algo;369
2;Azathot00;;;6/10/2023 15:09;@larepublica_pe @jesicaleon Ojalá vayan a barrios picantes no a barrios tranquilos por que para el webeo son los primeros;24
3;A87385106;;;8/10/2023 00:53;@larepublica_pe @jesicaleon ni la fiscalia, ni la justicia, ni la policia se han ganado la confianza ni el respeto para aceptar esta desicion;1
4;AdrianCarmelo01;;1;6/10/2023 20:44;@larepublica_pe @jesicaleon Creo que el ciudadano trabajador  sabe quienes delinquen, quienes asesinan y quienes roban, quienes extorsionan, y que autoridades de la justicia los libera luego de ser apresados. Este sistema de justicia es una coladera mientras unos lo apresan otros lo liberan;6
5;AlbertoPeUsEs;;;7/10/2023 01:21;@larepublica_pe @jesicaleon Este gobierno de la asesina DB con su ventrílocuo AO y el @congresoperu se están limpiando el poto con los derechos constitucionales.;2
6;Alejand11416630;;1;6/10/2023 17:46;@larepublica_pe @jesicaleon Si esto no es una dictadura, no se qué es una dictadura.;1
7;Alejand45315784;;;8/10/2023 00:43;@larepublica_pe @jesicaleon Eso se presta a abusos policiales .y abusos de poder;85
8;tabernero_alex;;;6/10/2023 15:27;@larepublica_pe @jesicaleon Perfecto, los únicos que van a reclamar son los delincuentes, sus familias y los progres que los defienden;26
9;Alexgomu_;;;6/10/2023 14:47;@larepublica_pe @jesicaleon propio de DICTADURAS!;924
10;@Alexgomu_;;;6 oct.;@larepublica_pe @jesicaleon ¿Detendrán a delincuentes de la Pestilencia? ¿O dejarán libres a autorxs comprobadxs para concentrarse sospechosamente solo en 'sospechosxs'?;
11;AliagaDeAragon;;;6/10/2023 17:31;@larepublica_pe @jesicaleon -4 horas para q te vaceen las cuentas.-Ahora te secuestran y no sabes si es PNP o choros;135
12;Andreav09271851;;;7/10/2023 01:43;@larepublica_pe @jesicaleon Sospechosos de tener plata  que puedan pagar ahí nomas para no llevarlos a la comisaría;6
13;@AngelBaldeon14;;;6 oct.;@larepublica_pe @jesicaleon Mejor dicho, llenarán las Comisarías de gente humilde y quizás mal vestidas, y claro de color mestizo, por qué a los blanquitos bien vestidos, a esos hasta le agachan la cabeza.;
14;AngelBaldeon14;;;6/10/2023 22:07;@larepublica_pe @jesicaleon Que buena noticia;27
15;AngelFalse8;;;6/10/2023 23:18;@larepublica_pe @jesicaleon Ala si salgo a comer del trabajo tendré q llevar mi DNI ahora;24
16;Bryancg23;;1;6/10/2023 14:30;@larepublica_pe @jesicaleon Habeas corpus o acción de amparo, que procede ?;20
17;@CarinaSarmien10;;;6 oct.;@larepublica_pe @jesicaleon Esa PNP te detiene y si quieren luego te desaparecen, la asesina LES ESTÁ DANDO MUCHO PODER;
18;Carlos26228899;;;6/10/2023 23:26;@larepublica_pe @jesicaleon Dada la situación,  es necesario.;685
19;@Carlos26228899;;;6 oct.;@larepublica_pe @jesicaleon Estoy de acuerdo, nunca olvidaré cuando recibí mi DNI allá por el 98, el de Reniec me dijo: ahora eres mayor de edad, no salgas sin tu DNI, así sabrán quien eres.;
20;elcrackerman;;;6/10/2023 13:40;@larepublica_pe @jesicaleon Excelente, aunque pensé que era una obligación estar siempre debidamente identificados, toca ahora que inspectoría de la PNP haga operativos para sancionar públicamente a los agentes que lucren con esta norma.;34
21;zavaleta_meza;;;8/10/2023 05:20;@larepublica_pe @jesicaleon La medida es acertada   en forma perimetral y con cerco cerrado puede caer alguna gavillas de delincuentes.;2
22;carlosmoquilla5;;;6/10/2023 14:03;@larepublica_pe @jesicaleon por  fin;0
23;cazarte_carlos;1;5;6/10/2023 13:55;@larepublica_pe @jesicaleon ,  maravilla, la penepe con competencias de juez!!! El país es maravilloso, la mente creativa de dónde salió el proyecto debe ser muuuuuy inteligente !!!;289
24;@cazarte_carlos;;;6 oct.;@larepublica_pe @jesicaleon La modificación del código no ha afectado esa parte. La noticia debería ser q la penepé puede detenerte hasta DOCE horas si sales sin documentos y sospechan q eres extranjero (o lo eres). Se presta a discriminación y acciones arbitrarias contra población vulnerable.;
25;Kr2X;4;11;6/10/2023 12:18;@larepublica_pe @jesicaleon Y adivinen la zonas que no iran a pedir !!! Sii en la zonas pitucas de Lima;71
26;pcentenc;;;6/10/2023 17:55;@larepublica_pe @jesicaleon Eso ya estaba establecido ??;4
27;CWanqa;;10;6/10/2023 12:06;@larepublica_pe @jesicaleon Más arbitrariedad a la orden;406
28;Chocolatex26;;;6/10/2023 18:13;@larepublica_pe @jesicaleon Darle tremendo a gente con secundaria completa es como darle una metralleta a un mono.;40
29;dvch70;;;6/10/2023 21:58;@larepublica_pe @jesicaleon Inconstitucionalidad a la vista;72
30;Danthex1;;;7/10/2023 22:54;@larepublica_pe @jesicaleon La ??Dina la va pagar muy caro y su caf1cho el hijo de ?? Otárola también.;3
31;dmartinez178;2;;6/10/2023 12:39;@larepublica_pe @jesicaleon Ya eso está pasando desde hace 15 días atrás aprox, me pidieron mi documento en la Av. Venezuela y me preguntaron hasta cuánto tiempo llevaba aquí y a que me dedicaba... (Claro, todo lo preguntaron con malicia y sarcasmo);85
32;Dabe_12;;1;6/10/2023 16:07;@larepublica_pe @jesicaleon @PepeLeonMusic sin DNI, dice. Ay, mi ansiedad! ??;18
33;@Dabe_12;;;6 oct.;"@larepublica_pe @jesicaleon El manual policial para definir quiénes son ""sospechosos"".";
34;DeliaMercedes2;;;9/10/2023 19:02;@larepublica_pe @jesicaleon No se pasen!!! Esto ya es el colmo!!!;35
35;Dennis_PE123;;2;6/10/2023 15:27;@larepublica_pe @jesicaleon van a ir por dirigentes sociales, periodistas incomodos y demas gente que resulte intolerante a las acciones de la mafia, CACERIA DE BRUJAS.;71
36;@DoNotFollow74;;;7 oct.;@larepublica_pe @jesicaleon Dándole más poder a esas bestias que no tienen ni sentido común, solo le sirven al dinero y al poder del asesino de turno, que vergüenza da esa institución.;
37;Eddy0074;1;7;6/10/2023 14:25;"@larepublica_pe @jesicaleon Bonita ""democracia"" ,la que nos está dejando la derecha y sus matones.";305
38;e2hd;;;6/10/2023 14:47;@larepublica_pe @jesicaleon Estamos peor que con Castillo ??;11
39;el_misioneroo;;;6/10/2023 19:59;@larepublica_pe @jesicaleon Le dan poder a los tombos ignorantes;0
40;edwinabarcam;5;7;6/10/2023 14:49;@larepublica_pe @jesicaleon En pleno 2023, con tanta tecnología y hay que necesitar un carnet para que nos identifiquen, de lo contrario te puedes ir detenido un par se horas. Tranquilamente dictando nuestro número de DNI podríamos ser identificados en el sistema, pero no, siguen con sus normas de los 60.;36
41;Cesar97792858;;;6/10/2023 17:38;@larepublica_pe @jesicaleon Que entonces pueden sembrarte,coimarte si les da la gana,que leyes mas estupidas hacen estas lacras congresistas,vulneran nuestros derechos;34
42;El_descamisado;;2;6/10/2023 13:06;@larepublica_pe @jesicaleon no esperaba otra cosa de un gobierno golpista y gorila;350
43;ElChrisXP;;;7/10/2023 01:31;@larepublica_pe @jesicaleon ya estamos en una dictadura autorizada por el congreso :V;163
44;CardenEli;;27;6/10/2023 12:24;@larepublica_pe @jesicaleon Así venezo empezuela;152
45;SofiaCalvoDaza;;1;6/10/2023 14:09;@larepublica_pe @jesicaleon Porque enfocan tan mal la noticia, eso ya se podía de antes. El cambio está en extranjero que aumentó hasta 12h.;380
46;@SofiaCalvoDaza;;;6 oct.;@larepublica_pe @jesicaleon Si esa norma la hubiera dado Castillo, @edmalaga, el imbecil, @AlejoMunante la chavetera y demas hijos de papá que parasitan el @congresoperu estarían saliendo a gritar que atenta contra la libertad. Pero como es una orden de su cabecilla mafiosa a su títere gobierno… mudos!!!;
47;elvisbonillato1;;1;6/10/2023 14:54;@larepublica_pe @jesicaleon excelente estrategia ,ya es algo;0
48;Felix66817911;;3;6/10/2023 14:26;@larepublica_pe @jesicaleon Inconstitucional..!! Si este Congreso aprueba eso, ya seremos Venezuela y nadie va a invertir en el Perú. Este gobierno incapaz, dictador, q tiene el aval de la Señora Keiko Fujimori, debe largarse.;64
49;unoinfinito1;;1;6/10/2023 12:30;@larepublica_pe @jesicaleon Esto es una barbaridad. ¿En manos de quién estamos?;83
50;@unoinfinito1;;;6 oct.;@larepublica_pe @jesicaleon Tierra de nadie Perukistán... Cualquier cosa;
51;AlguiarFiorella;;23;6/10/2023 12:23;@larepublica_pe @jesicaleon La democracia perecio en este pais corroido por bandas criminales y hampones de traje;60
52;lazaro1975;13;7;6/10/2023 14:33;@larepublica_pe @jesicaleon Desde hace casi 30 años salgo siempre con mis documentos no solo en Perú sino en el extranjero... CUAL ES EL PROBLEMA???... el que no la debe no la teme... cuanto delincuente con requisitoria se pasea libre;262
53;gabrielal4m0;2;33;6/10/2023 13:20;@larepublica_pe @jfowks @jesicaleon La modificación del código no ha afectado esa parte. La noticia debería ser q la penepé puede detenerte hasta DOCE horas si sales sin documentos y sospechan q eres extranjero (o lo eres). Se presta a discriminación y acciones arbitrarias contra población vulnerable.;1059
54;GaelRz04;;;8/10/2023 02:05;@larepublica_pe @jesicaleon Una cosa es el DNI y otra cosa es el Allanamiento de sus pertenencias del ciudadano donde si se necesita la presencia de un fiscal.  Porque ya tomaron por costumbre en revisar las cosas sin encontrar ningún acto de flagrancia.;17
55;rommyb;3;51;6/10/2023 12:29;@larepublica_pe @jesicaleon ¿Detendrán a delincuentes de la Pestilencia? ¿O dejarán libres a autorxs comprobadxs para concentrarse sospechosamente solo en 'sospechosxs'?;658
56;Gonzales_1tusa;;;7/10/2023 17:28;@larepublica_pe @jesicaleon A las motos de los venecos deberian intervenir mas;0
57;monteguillermo;;3;6/10/2023 14:31;@larepublica_pe @jesicaleon Considero correcto, siempre y cuando no se cometa ABUSOS o que se detenga para EXTORSIONARLO y luego pedir una suma para dejarlos libre, como solían hacer en los 90s tanto EP y PNP pedian dinero para dejarlos ir a aquellos que no portaban su DNI, casi lo mismo con los que tenían;18
58;gustbum;;;6/10/2023 18:19;@larepublica_pe @jesicaleon Es el comienzo de estado represor y aún más autoritario ??;43
59;HijaDeSastre;;3;6/10/2023 16:14;@larepublica_pe @jesicaleon Como diría Molotov: Aunque no sepa leer, no sepa hablar, el es el que te brinda la “seguridad”. En manos de esos estamos. Se vienen las sembradas y consecuentes coimas al por mayor.;161
60;ConsejosEsquina;;;6/10/2023 17:07;@larepublica_pe @jesicaleon Si van a retener a los ciudadanos, deben poner cajeros electrónicos en todas las comisarías o normalizar el uso de yape por parte de la Policía.;361
61;jorgeluislzr;;;7/10/2023 11:10;@larepublica_pe @jesicaleon Sospechoso? Veamos como le sacan la vuelta ciertos elementos...;193
62;bastos_j98;;2;6/10/2023 14:05;@larepublica_pe @jesicaleon A estas alturas de la vida quién anda sin DNI?, no tendría que molestarte salvo que tengas un pendiente con la justicia por regularizar y todos estos años te la  pasaste caleta.;19
63;javpalle;;;7/10/2023 13:07;@larepublica_pe @jesicaleon Irá la Policía a las zonas peligrosas de las ciudades;203
64;turdepeish;3;8;6/10/2023 12:24;"@larepublica_pe @jesicaleon Hace rato era, no faltaran los sjw a decir ""ayy diktadurah ayy mis dhereshoz umanoz"", sarta de babosos.";140
65;jgaguedo;;;7/10/2023 03:21;@larepublica_pe @jesicaleon Eso no es combatir la delincuencia, están poniéndole un curita.;248
66;@jgaguedo;;;6 oct.;@larepublica_pe @jesicaleon Llevaré mi DNI colgado al cuello como algunez lo hice con el carnet de vacunas Covid;
67;jhencg3005;;;6/10/2023 21:59;@larepublica_pe @jesicaleon Que bien ????;72
68;JhonnyLicla;;;7/10/2023 15:41;@larepublica_pe @jesicaleon Excelente, un ciudadano de bien no tiene por que preocuparse, lo mismo no podrían decir los que viven al margen de la ley.;0
69;MyCodeGenerator;;1;7/10/2023 19:11;@larepublica_pe @jesicaleon solo falta aclarar la definición de sospechoso o se lo van a dejar a criterio de los que sueltan delincuentes después de hacerles taxi unas cuadras adelante?;54
70;hannibal0309;;2;6/10/2023 23:47;@larepublica_pe @jesicaleon Con esa preparación que tiene la PNP van a suceder abusos al por mayor, ningún policía ha sido entrenado para servir si no para servirse. https://t.co/MIA0ycdUFj;491
71;@hannibal0309;;;6 oct.;@larepublica_pe @jesicaleon sin DNI, dice. Ay, mi ansiedad! ??;
72;Joel74752671;;;6/10/2023 19:30;@larepublica_pe @jesicaleon Esta muy bien. El DNI es un documento que se tiene que llevar siempre y que te identifica.;0
73;jordanmc197;;2;6/10/2023 20:37;@larepublica_pe @jesicaleon Se vienen las supercoimas de tránsito libre, algunas personas ni llevamos los documentos ni billetera, solo la plata necesaria para ir al trabajo, por el miedo a la delincuencia, si pierdo mi dni sacar un duplicado demora como 7 a 14 días.;131
74;@jorgealfi;;;6 oct.;@larepublica_pe @jesicaleon Así es como empiezan las dictaduras.;
75;jorgealfi;;1;6/10/2023 12:20;@larepublica_pe @jesicaleon Lamentablemente. creo que se va a cometer un gran abuso de autoridad hacia los inocentes ciudadanos. Va a aparecer casos de corrupción, coacción e infinidad de problemas. Se cometiera graves atropellos a la dignidad e integridad de la gran mayoría de la población.;9
76;EliabHahu;;;7/10/2023 07:19;@larepublica_pe @jesicaleon Más coimas para las policías... Excelente;63
77;@JorgeVi56085970;;;7 oct.;"@larepublica_pe @jesicaleon Yo opino que de una vez salga a la luz: ""La maquina"". Qué lo ve y sabe todo.";
78;alvarezmin85;;;7/10/2023 10:02;@larepublica_pe @jesicaleon Con la prestigiosa PNP que tenemos esto sera un caos;4
79;@cerrobaulo;;;6 oct.;@larepublica_pe @jesicaleon DICTADURA FACISTA;
80;cerrobaulo;;;7/10/2023 11:32;"@larepublica_pe @jesicaleon Esa ley está desde el 2004Que no se aplique por desidia, flojera o corrupción es otra cosaLas modificaciones son en el #4 respecto a extranjeros""""LEAN'' DECRETO LEGISLATIVO Nº 957, QUE REGULA EL CONTROL DE IDENTIDAD POLICIALArt 205 #4";39
81;carlitosjj9;;;7/10/2023 00:08;@larepublica_pe @jesicaleon Y cuando fue necesario la presencia un fiscal o juez para que te soliciten DNI;15
82;kevin778271282;;;6/10/2023 15:29;@larepublica_pe @jesicaleon Me voy a sentir ofendido si me intervienen;12
83;kurtnolte;;1;6/10/2023 22:55;@larepublica_pe @jesicaleon Osea te pueden sembrar cualquier cojudes..... Volvemos a los '90y ya sabemos en que termina todo esto;108
84;larepublica_pe;170;395;6/10/2023 12:05;?? Policías podrán retener a civiles hasta por 4 horasSi no tienen DNI. Intervendrán a quienes vean sospechosos y no será necesaria la presencia de un juez o fiscal, según decreto.? Jesica León [@jesicaleon]https://t.co/Kc3aIf8TzH;3013243
85;LCairampoma;;6;6/10/2023 13:04;@larepublica_pe @jesicaleon Más negocios Para los tombos @PoliciaPeru;42
86;lyzzba;1;3;6/10/2023 12:39;@larepublica_pe @jesicaleon Inaceptable que entremos en una clara violación de DDHH. que esperan para derogarlo, @TC_Peru @Defensoria_Peru;144
87;z_bird986;;;6 oct.;@larepublica_pe @jesicaleon A quienes vean sospechosos? O a quien creen que pueden sacarle plata???? Esos vacíos legales se prestan para mucha hvda;
88;z_bird987;;1;6/10/2023 21:25;@larepublica_pe @jesicaleon Ah, pero a los chamos con armas ni se acercan zzz;110
89;LouisAlbertX1;;2;6/10/2023 12:32;@larepublica_pe @jesicaleon Sospechoso = color cartón o veneco, caso contrario no pasa nada.;0
90;LAMPA_2287;;;6/10/2023 13:58;@larepublica_pe @jesicaleon Podrán? Pueden hace años??;717
91;LuisAri77761564;;;6/10/2023 21:50;@larepublica_pe @jesicaleon Todo es negociable, no?;1
92;EternoLuissb901;;;6/10/2023 22:54;@larepublica_pe @jesicaleon Qué bueno ?? ante tanta delincuencia, crimen ,extorsión, robos a diario y violentistas, terroristas y demás porquerías que abundan.Esperemos con  ansias que en un futuro cercano , podamos implantar la pena de muerte ?;43
93;LuisLop10772090;;2;6/10/2023 15:43;@larepublica_pe @jesicaleon Mal, muy mal. Con la clase de policias que tenemos, mas extorsion;4
94;LukioTercer0;;;8/10/2023 10:58;@larepublica_pe @jesicaleon Antes ya lo hacían..... ??;2
95;marcialjr271794;;;6/10/2023 15:22;@larepublica_pe @jesicaleon ala q mierda es esto. Osea salgo a comprar el pan a las 6 de la mañana y regreso para q mis hijos tomen su desayuno a las 10 am. Solo pq a un tombo de mierda se le ocurre detenerme. Cuántas amas de casa van al mercado con DNI ? Las retendrán a todas ellas x 4 horas?;0
96;HinojosaSpike;;;6/10/2023 17:18;@larepublica_pe @jesicaleon Osea que te van a detener solo por la cara?;354
97;Mariela86408109;;1;6/10/2023 13:00;@larepublica_pe @jesicaleon Entonces los extranjeros indocumentados serán expulsados.  Mínimo, con esto tal vez disminuya  tanta violencia.;5
98;MarkusRonjam;;2;6/10/2023 14:14;@larepublica_pe @jesicaleon Los sembradores de placemes;325
99;MauroLazar;;3;6/10/2023 13:48;@larepublica_pe @jesicaleon Secuestro, con visita a los 7 bancos y puedas colaborar de manera voluntaria con una limosna para la inmaculada pnp;377
100;mery_coila3;;;7/10/2023 06:20;@larepublica_pe @jesicaleon Ya estamos en Dictadura?;39
101;MiguelA04899081;;;6/10/2023 14:42;@larepublica_pe @jesicaleon ¿Acusar y denunciar cuando están coimeando te pueden llevar a la cárcel? @PoliciaPeru Es una mordaza @presidenciaperu Dina Asesina y el carnicero @pcmperu;0
102;MiguelSandovalA;;;6/10/2023 21:37;@larepublica_pe @jesicaleon lo justo;59
103;hipp_life;;;6/10/2023 15:25;@larepublica_pe @jesicaleon Ahora si estamos en una dictadura;23
104;monikademon;;2;6/10/2023 12:27;@larepublica_pe @jesicaleon Idiotez tras idiotez realmente este país;617
105;Morga_Ezra;1;;6/10/2023 16:51;"@larepublica_pe @jesicaleon Identificarse ante una autoridad debería ser lo más normal del mundo, pero el problema es cuando hay abuso de una norma, ejemplo ya hay una víctima de la ""ley de la legítima defensa"" aunque se trate de muerte entre delincuentes";5
