Username;Comments;Favorites;Date;Tweet;Author Followers;Sentimiento
turdepeish;3;8;6/10/2023 12:24; hace rato era no faltaran los sjw a decir ayy diktadurah ayy mis dhereshoz umanoz sarta de babosos;140;Neutral
lazaro1975;13;7;6/10/2023 14:33; desde hace casi 30 años salgo siempre con mis documentos no solo en perú sino en el extranjero cual es el problema el que no la debe no la teme cuanto delincuente con requisitoria se pasea libre;262;Positivo
cazarte_carlos;1;5;6/10/2023 13:55;   maravilla la penepe con competencias de juez el país es maravilloso la mente creativa de dónde salió el proyecto debe ser muuuuuy inteligente ;289;Positivo
gabrielal4m0;2;33;6/10/2023 13:20; jfowks  la modificación del código no ha afectado esa parte la noticia debería ser q la penepé puede detenerte hasta doce horas si sales sin documentos y sospechan q eres extranjero o lo eres se presta a discriminación y acciones arbitrarias contra población vulnerable;1059;Negativo
YorshCarlin;1;8;6/10/2023 14:27; una puerta abierta al abuso policialincluso teniendo dni pero llevando carga te podrían extorsionar para darles propina a cambio de evitarte demoras y revisión de tus cosas sin ningún indicio real de delito flagrante pero lima quiere estoapoyó y en su indiferencia lo valida;106;Negativo
rommyb;3;51;6/10/2023 12:29; ¿detendrán a delincuentes de la pestilencia ¿o dejarán libres a autorxs comprobadxs para concentrarse sospechosamente solo en sospechosxs;658;Negativo
Junior_0311;1;20;6/10/2023 13:54; ptm o sea a quien les de la gana;2510;Negativo
Eddy0074;1;7;6/10/2023 14:25; bonita democracia la que nos está dejando la derecha y sus matones;305;Positivo
edwinabarcam;5;7;6/10/2023 14:49; en pleno 2023 con tanta tecnología y hay que necesitar un carnet para que nos identifiquen de lo contrario te puedes ir detenido un par se horas tranquilamente dictando nuestro número de dni podríamos ser identificados en el sistema pero no siguen con sus normas de los 60;36;Neutral
lyzzba;1;3;6/10/2023 12:39; inaceptable que entremos en una clara violación de ddhh que esperan para derogarlo tcperu defensoriaperu;144;Negativo
OrlandoFalconT1;2;10;6/10/2023 14:33; qué pasa sin un ser de luz con uniforme que en la mayoría de casos son unos delincuentes con placa esconden el dni así como hacen cuando te quitan los documentos del auto primero purgar la policía y luego vemos leyes que les den más autoridad;7;Negativo
Kr2X;4;11;6/10/2023 12:18; y adivinen la zonas que no iran a pedir  sii en la zonas pitucas de lima;71;Positivo
ElChrisXP;0;0;7/10/2023 01:31; ya estamos en una dictadura autorizada por el congreso v;163;Neutral
renzo_uni;0;0;6/10/2023 13:37; cada vez más cerca de un estado totalitario al estilo nazi;37;Neutral
ventiisick;0;0;6/10/2023 16:12; huevadas nomas hacen;33;Positivo
unoinfinito1;0;1;6/10/2023 12:30; esto es una barbaridad ¿en manos de quién estamos;83;Positivo
